Age (ka),Mass Flux (g/cm2kyr)
4.9968,1.983311229
4.997,1.980129865
5,1.974539057
5.011,1.964889399
5.03,1.952219085
5.03399,1.968705013
5.047,1.974387879
5.07,1.920740677
5.08751,1.98351705
5.092,1.981718968
5.11114,1.876052917
5.11745,1.880749993
5.138,1.841779534
5.168181818,1.865189014
5.189,1.88771302
5.23975,1.878414218
5.24,1.898194108
5.24958,1.887547151
5.26754,1.918447671
5.28,1.913467192
5.291,1.863851529
5.308,1.860753856
5.30938,1.844578699
5.35,1.787026743
5.35,1.778544932
5.35533,1.800187252
5.38,1.805731378
5.38,1.807547479
5.389,1.821672123
5.39,1.812392221
5.4,1.802565641
5.41539,1.885900427
5.45437,1.92846951
5.46,1.920145945
5.46,1.915240594
5.48462,1.909674211
5.486,1.90890025
5.5,1.894775855
5.5295,1.877794186
5.54,1.863112457
5.55,1.857503438
5.553881818,1.855381067
5.557,1.852949232
5.5635,1.853719394
5.56619,1.83831037
5.573,1.831823164
5.5845,1.849894168
5.61,1.847455746
5.7,1.900991944
5.70425,1.884869878
5.704827797,1.870870079
5.717,1.865659616
5.7239,1.868908607
5.74,1.88654752
5.74357,1.868282008
5.75117,1.905922237
5.775,1.917528793
5.78,1.919414325
5.8,1.937461354
5.8,1.93096187
5.8,1.925747868
5.81,1.882420284
5.8129,1.881396587
5.8461,1.887637818
5.869,1.888448321
5.879,1.886310953
5.88725,1.893595104
5.89,1.924385454
5.912194222,1.91932435
5.9249,1.92623497
5.93,1.926713356
5.9495,1.948926568
5.993,1.958648063
5.99925,1.971108038
6.01228,2.024822451
6.02,2.018221066
6.05,2.020250678
6.0645,2.06839
6.070967742,2.058830873
6.073,2.048464133
6.11,1.961561525
6.12244,1.951578898
6.135,1.941410218
6.14,1.949491451
6.15,1.945192959
6.15796,2.052645636
6.16,2.047520328
6.19614,2.032191914
6.211,2.04407295
6.21739,2.031950497
6.23255814,2.021898236
6.252486188,2.004445953
6.255154545,1.999859673
6.282,1.990964943
6.29125,1.995080547
6.305,1.989257298
6.313,1.993071979
6.31917,2.020065832
6.32561,2.060108174
6.357,2.05601412
6.38,2.023616787
6.38175,2.027603625
6.405882353,2.034185467
6.414,2.012675996
6.4287,1.906533343
6.429,1.901888676
6.43,1.895733707
6.436882903,1.882385891
6.4915,1.874261119
6.5,1.881470293
6.509,1.877992491
6.5151,1.871623816
6.518,1.882696444
6.5251,1.876532327
6.53,1.883572367
6.5345,1.913742052
6.55,1.938747873
6.551,1.933299067
6.584,1.962458589
6.59,1.935701807
6.6,1.929408539
6.60469,2.025828459
6.64871,2.019958065
6.65,2.013625047
6.6640625,2.002965535
6.6665,1.984816274
6.67869,1.968706102
6.695,2.004565793
6.7,2.011286904
6.785714286,2.016944579
6.787,2.031630616
6.79561,2.066058147
6.813,2.104011443
6.8435,2.10372072
6.865,2.014659503
6.87825,2.004968676
6.89,1.964615166
6.9086,1.952961903
6.909454545,1.94156459
6.91,1.936887479
6.92,1.927174795
6.921363636,1.921492017
6.93,1.920581987
6.94,1.902178704
6.94,1.906923627
6.94,1.920964645
6.96,1.928712217
6.96,1.926360741
6.967619048,1.917713874
6.976,1.90968004
6.983,1.89568025
6.983,1.882892041
6.99788,1.870790857
7.0045,1.907230194
7.006,1.903938709
7.02,1.864301389
7.03425,1.865496902
7.038,1.862220305
7.05,1.87645568
7.05985,1.979493563
7.06388,1.974652838
7.06555,2.073701893
7.07,2.067748028
7.1,2.093933964
7.103,2.088022326
7.13,2.102014032
7.135,2.105840546
7.136996543,2.092677288
7.149,2.085485591
7.156,2.076107256
7.157,2.070290287
7.167,1.978350852
7.17,1.971393283
7.172,1.988424505
7.19,1.983156585
7.199,1.995803823
7.201872727,1.989743971
7.231,1.985431092
7.23494,1.979008238
7.24,1.976526352
7.246090909,1.967770799
7.263,1.973348309
7.272,1.967536615
7.283,1.994807045
7.295,2.003070368
7.32167,1.994392675
7.3275,1.954078385
7.328,1.950397115
7.35696,1.988505583
7.36,1.985188206
7.36527,2.004857697
7.37,1.99316859
7.3781,1.991389871
7.38,1.990959763
7.383,1.981781934
7.391,1.978769156
7.392,1.975094524
7.395,1.962906251
7.396,1.998277765
7.42,2.019157323
7.423,2.008332062
7.4245,1.997025658
7.425,1.996753016
7.4385,2.024699731
7.447,2.010090362
7.466,2.028011509
7.46694,2.018012183
7.482,2.013297657
7.49164,2.035254831
7.494,2.029321466
7.5,2.077523847
7.5,2.140740915
7.51619,2.14237371
7.5495,2.125997968
7.5644,2.127022904
7.56544,2.116390685
7.593548387,2.116794305
7.605,2.043236451
7.605,2.03735783
7.60775,2.027801244
7.61469,2.018246336
7.618,2.041746776
7.63857,2.037466454
7.65,2.053157427
7.6605,2.04748466
7.689,2.079541381
7.697,2.037501157
7.7,2.038449411
7.7,2.028064917
7.713,2.025471739
7.716,2.019981942
7.724,2.00228972
7.729,2.040141289
7.74436,2.062856745
7.756078672,2.060736264
7.77,2.056243402
7.7715,2.05056156
7.793,2.050961363
7.798149467,2.017305283
7.8,2.016103626
7.812658228,2.007914922
7.819,2.021378685
7.82308,2.019358167
7.825,2.016015659
7.827,2.027285785
7.827,2.044448501
7.827,2.046196657
7.827,2.049848405
7.827,2.058682976
7.827,2.060494713
7.827,2.055383147
7.827,2.081441722
7.828571429,2.070421479
7.8292,2.066669635
7.833333333,2.051403171
7.833333333,2.036849789
7.837,2.025402515
7.87073,2.055065583
7.876,2.048763585
7.8825,2.052988354
7.89,2.053361046
7.915,2.06437542
7.938,2.079754577
7.95717,2.074176383
7.97,2.096107606
7.9775,2.089241762
7.99709,2.14203146
8,2.15694109
8,2.147915736
8.028,2.135233371
8.03,2.128579168
8.068,1.94377099
8.069,1.943271965
8.09,1.943104135
8.11,1.945459284
8.12187,2.107032627
8.12345,2.148953684
8.12408,2.179819409
8.128727273,2.173283137
8.13,2.182714326
8.15,2.201580518
8.155,2.202214042
8.169,2.220151833
8.2052,2.228493979
8.2057,2.249451154
8.21,2.251468341
8.245,2.260024828
8.24982,2.374187961
8.263,2.378527284
8.2673,2.371552634
8.29,2.365484574
8.293,2.370158244
8.3,2.366571548
8.3,2.359014065
8.319454545,2.350703592
8.32911,2.403324251
8.35,2.414175138
8.35318,2.413959261
8.35483871,2.397850121
8.3695,2.358947151
8.37618,2.494857909
8.38568,2.570210741
8.4,2.569407394
8.4,2.566602854
8.414936534,2.552586603
8.42,2.542970401
8.44937,2.590247986
8.48983,2.588495346
8.498,2.58312335
8.5,2.476723991
8.50255,2.530878086
8.504,2.524464798
8.50833,2.510804823
8.510181818,2.500399191
8.57,2.544465197
8.617,2.598286392
8.61957,2.566361784
8.62259,2.625825627
8.656551724,2.635053581
8.66,2.685826426
8.692,2.697103121
8.7006,2.738596058
8.7006,2.731290986
8.7006,2.726095581
8.7006,2.719534373
8.700909091,2.708344364
8.71,2.697442891
8.7167,2.749130512
8.73,2.732730347
8.733,2.726710225
8.75,2.74532948
8.7606,2.777594359
8.775,2.796459537
8.793,2.784589021
8.796,2.775829702
8.8045,2.823119468
8.8165,2.829114973
8.82919,2.879216707
8.834,2.954849499
8.839,2.960236458
8.85388,2.980538088
8.86075,2.952116158
8.87,2.946661608
8.87,2.925205728
8.871428571,2.87439944
8.8761,2.873173674
8.87856,2.913279176
8.88,2.89863559
8.88046,2.940357234
8.89875,2.960154886
8.90325,2.992365342
8.92794,3.03717056
8.93,3.011600284
8.947,3.04921637
8.95,3.08796346
8.95,3.074345984
8.95262,3.123210868
8.968,3.134698321
8.97731,3.176910343
8.979411765,3.183016648
8.98,3.159209656
8.983468513,3.137890548
8.987,3.121481804
9.002,3.180508432
9.0323,3.192362147
9.039,3.189551908
9.051,3.175778022
9.05476,3.159498786
9.116129032,3.200882059
9.13,2.96413698
9.13955,2.954707446
9.146,2.944728698
9.15,2.947034753
9.227,3.004801329
9.231501832,2.986315352
9.256833333,2.878662239
9.256833333,2.863629397
9.263,2.852094528
9.292,2.901733024
9.296,2.892561995
9.3,2.918804031
9.303,2.922789497
9.312,2.900264231
9.3238,2.984261478
9.32609,2.970761613
9.341,2.918464326
9.36,2.920277962
9.38,2.772874783
9.383241252,2.759612617
9.3955,2.682701156
9.41,2.672315715
9.43,2.698004218
9.44,2.709636354
9.44,2.716345032
9.484,2.720656212
9.5,2.780753815
9.5012739,2.761746241
9.507,2.744863629
9.523,2.782498089
9.526666667,2.768129316
9.532,2.751094383
9.537,2.744043008
9.55,2.73592391
9.5769,2.739235358
9.578,2.724866437
9.581,2.717271006
9.584810127,2.701091906
9.599963122,2.696018614
9.618,2.707800757
9.63,2.655760784
9.634,2.640824701
9.638,2.634445612
9.6391,2.650032062
9.64,2.648191512
9.642,2.628719456
9.6456,2.68312293
9.646,2.677374298
9.695,2.636095787
9.7,2.631470641
9.7,2.620352773
9.7,2.609340726
9.701,2.62955914
9.703,2.623208183
9.71,2.61303985
9.733,2.590240195
9.74,2.617971245
9.7496,2.621392673
9.75,2.586464783
9.754,2.581361856
9.76,2.570439009
9.765,2.535173432
9.7883,2.602318448
9.8219,2.596950937
9.823,2.589112762
9.857,2.556910945
9.8594,2.546260254
9.863,2.562165718
9.87,2.592901258
9.877419355,2.606812621
9.889,2.510112016
9.917,2.45890237
9.9226,2.452359525
9.9259,2.447011247
9.9261,2.485619755
9.938,2.469175629
9.95,2.401865205
9.956,2.334696209
9.967200726,2.321425976
9.9674,2.395950743
9.971,2.397143732
9.979,2.388692119
9.9817,2.430936234
10,2.448767378
10,2.444168475
10.019,2.372802278
10.02,2.366358775
10.02,2.410463879
10.023,2.404509842
10.0358,2.468420209
10.0358,2.515972047
10.05,2.497073211
10.08,2.507789859
10.1122,2.543236124
10.1283,2.646628872
10.15627778,2.676844079
10.1585,2.664422318
10.159,2.655415004
10.16,2.667147477
10.174,2.695204312
10.186,2.678531025
10.1873,2.662897367
10.189,2.657376963
10.19,2.647203194
10.192,2.627880025
10.198,2.635946906
10.276,2.649833653
10.28,2.637714121
10.287,2.629144236
10.2892,2.698593285
10.297,2.669123479
10.3,2.673438564
10.3125,2.716409729
10.33040293,2.649673735
10.36,2.666607348
10.3735,2.687293353
10.38131837,2.681595197
10.3913,2.713500902
10.396,2.820780655
10.3976,2.832984993
10.406,2.827648319
10.42,2.853166943
10.43,2.853466943
10.437,2.832055541
10.45,2.845591768
10.455,2.828019478
10.46666667,2.817748128
10.467,2.798052254
10.48821363,2.804964488
10.49,2.781821702
10.5,2.766638876
10.5,2.746478527
10.5,2.740895347
10.5,2.742122962
10.50575,2.752588564
10.50829787,2.716309614
10.51,2.70152897
10.51,2.69327617
10.514,2.688639688
10.5209,2.670945607
10.525,2.693568492
10.565,2.713501542
10.575,2.706900666
10.5885,2.76088609
10.5917,2.786323345
10.5949,2.800108244
10.5978,2.822780984
10.5981,2.844255487
10.6,2.851975411
10.6,2.854024501
10.6014,2.867190566
10.6046,2.914494494
10.606,2.902607993
10.6078,2.944640544
10.611,2.986055364
10.623,2.990183878
10.632,2.977556572
10.63870968,2.980897311
10.6485,2.942889791
10.6585,2.93831544
10.65988341,2.931567391
10.666,2.92333482
10.6704,2.933200048
10.6796,2.917465355
10.68,2.923897275
10.68,2.927932044
10.6865,2.925662143
10.693,2.914808966
10.693,2.904113389
10.6959,2.95165456
10.708,2.989002191
10.7123,3.000686542
10.7193,3.051711103
10.731,3.043148838
10.735,3.05056421
10.74,3.036678319
10.742,3.018912398
10.744,3.009516689
10.74481935,2.994313701
10.745,2.985304608
10.747,2.99467125
10.771,3.020980819
10.78,3.009319821
10.7907,2.977661041
10.8,2.982920562
10.82,2.981284996
10.8336,3.126288284
10.8752,3.143600707
10.876,3.126450369
10.9,3.175703449
10.907,3.167728822
10.9311,3.167097749
10.9313,3.187694525
10.9333,3.174669055
10.9496,3.194609193
10.95,3.183169351
10.95714286,3.177522496
10.973,3.144519733
10.976,3.129364198
10.98,3.092100354
10.985,3.068972744
11,3.077571215
11.0273,3.062341138
11.03,3.052233824
11.0385,2.972920557
11.04,2.966359002
11.0427,3.010321876
11.04625,3.004178806
11.05992116,3.004500887
11.083,3.010533013
11.09,3.004731096
11.0964,3.027721919
11.10379747,3.013799235
11.106,3.007804845
11.1234,2.966169197
11.1299,2.897688331
11.1312,2.901766795
11.1562,2.933745178
11.16,2.950124792
11.16,2.94085778
11.1628,2.926052964
11.173,2.919782492
11.19,2.950738614
11.2,2.97352089
11.207,2.964481868
11.21,2.960022608
11.214,2.955074391
11.2195,2.936000224
11.22,2.931176916
11.2287,2.9405773
11.2315,2.928194619
11.239,2.922321409
11.24,2.929625965
11.24,2.936972637
11.255,2.936747003
11.26,2.934977593
11.306,2.914994875
11.3075,2.896954468
11.3157,2.856657054
11.32976808,2.843196096
11.333,2.852134535
11.334,2.838105469
11.366,2.998947235
11.372,2.993314068
11.38,2.979974128
11.382,3.01978321
11.393,3.004315024
11.4,2.914439198
11.4062,2.961150162
11.40902394,2.951908477
11.4118,2.932982218
11.415,2.917420619
11.4385,2.981276433
11.439,2.975972351
11.45,2.955273681
11.453,2.95317544
11.4699,2.980026123
11.4767,2.975094989
11.5,3.032412353
11.505,3.026600967
11.5078,3.04240487
11.508,3.020983953
11.5113,3.042138486
11.523,3.064069637
11.525,3.073271641
11.533,3.073271641
11.5475,3.085282041
11.55833296,3.06907572
11.561,3.060741014
11.569,3.073723089
11.577,3.06618395
11.58,3.061570902
11.6,2.989153676
11.6,2.974851614
11.61,2.890590065
11.61245421,2.837133695
11.6292,2.852689118
11.66,2.920534314
11.66,2.947908685
11.67,2.947700342
11.67,2.939516394
11.6793617,2.918902793
11.686,2.923145172
11.686,2.949542842
11.6867,2.974408522
11.693,2.994847225
11.7,2.955305076
11.7005,2.975384522
11.71,2.995937168
11.7133,3.032870931
11.719,3.036981244
11.738,2.991883695
11.74,2.98334959
11.75,3.015214619
11.75031903,2.99752238
11.75031903,2.979935607
11.757,2.964943408
11.76,2.971107689
11.76608696,2.961825131
11.78,2.961331267
11.78,2.944567752
11.78478629,2.927831031
11.7869,2.936894714
11.817,2.91371486
11.81804754,2.897329667
11.82,2.887903231
11.8381,2.753694713
11.84,2.783615121
11.85,2.777138963
11.85014904,2.762313314
11.87466667,2.749301652
11.879,2.764512037
11.88,2.763396375
11.88113784,2.748861515
11.8925,2.758214514
11.903,2.733577744
11.904,2.73835881
11.91,2.749362458
11.91106175,2.7355094
11.9148,2.771170067
11.928,2.770824335
11.93,2.764960333
11.93996931,2.751312296
11.94,2.75560911
11.9444,2.737033738
11.96403712,2.742208126
11.96790976,2.728469158
11.971,2.731345334
11.982,2.746488637
11.982,2.776700523
11.99,2.795151878
11.99493299,2.781370174
12,2.774958564
12.0118,2.797864081
12.014,2.799850276
12.02108955,2.786221278
12.022,2.796714046
12.0225,2.785478617
12.03,2.833737848
12.03,2.818695822
12.038,2.820395971
12.0433,2.784233214
12.04643058,2.774458337
12.07,2.787262215
12.07100778,2.773980525
12.076,2.770258687
12.081,2.75809055
12.081,2.743317112
12.084,2.743694333
12.0948734,2.734310174
12.1,2.715272968
12.104,2.726365405
12.11,2.716448897
12.11808022,2.703962472
12.12,2.713219883
12.123,2.708406502
12.13,2.735114501
12.14068145,2.71785083
12.141,2.722931118
12.147,2.710940628
12.1522,2.699810157
12.1558,2.751581006
12.16,2.723925655
12.16,2.716485615
12.1615,2.70553609
12.1627308,2.693699422
12.169,2.720456597
12.171,2.72047387
12.186,2.712175255
12.1865,2.702433698
12.20475,2.688584591
12.21,2.699585622
12.21579559,2.690250592
12.22,2.716983169
12.22,2.745788744
12.2286,2.755628996
12.22942857,2.735879365
12.237,2.746055229
12.24,2.739117485
12.242,2.726994745
12.25,2.729420336
12.25,2.722893667
12.26660534,2.709969896
12.26660534,2.698807689
12.2737,2.682252683
12.28,2.685918289
12.2843,2.679768867
12.29,2.685812915
12.292,2.675831346
12.3,2.667350306
12.304,2.670233954
12.304,2.671468107
12.31,2.69504713
12.316,2.724014766
12.31602704,2.713387861
12.31602704,2.702617256
12.32,2.698775245
12.32,2.695112132
12.3329,2.700466571
12.34,2.714167854
12.35,2.703887479
12.35569687,2.70307683
12.362,2.692117237
12.36493655,2.681904379
12.3705,2.596155538
12.372,2.631093149
12.377,2.636706529
12.3783,2.645804096
12.4,2.62285799
12.4005,2.612100638
12.41,2.608464579
12.41421546,2.612109456
12.419,2.641562188
12.42,2.634422883
12.4238,2.622129155
12.43,2.61835836
12.43130435,2.613813917
12.4332,2.624873644
12.4333,2.620014632
12.435,2.61711285
12.438,2.619760824
12.44,2.596821579
12.4449,2.614965581
12.4508,2.636655247
12.4563,2.622748467
12.46474805,2.613521692
12.47,2.620076175
12.4769,2.613036857
12.483,2.604305475
12.483,2.60657587
12.49,2.608213051
12.5,2.607693437
12.5095,2.603268448
12.51,2.593836284
12.5125,2.59430682
12.5125,2.58352293
12.51741825,2.57498539
12.52820513,2.543948127
12.53,2.546801371
12.5548,2.521630207
12.5612,2.522593327
12.57,2.523633911
12.57310652,2.515520075
12.5738,2.536194052
12.58,2.544609846
12.61,2.5468026
12.61,2.548214388
12.616,2.563248417
12.618,2.553672248
12.62,2.544915511
12.62,2.54837695
12.62278481,2.542065266
12.6263,2.556363001
12.63268682,2.539451844
12.63268682,2.531306628
12.64,2.542751842
12.648,2.539125735
12.65,2.540378297
12.659,2.543057105
